"用户ID","特征","外设使用率","外设使用时长","使用时间"
"7008","游戏|直播","0.69","1981","2025-07"
"8696","直播","0.47","2340","2025-11"
"8506","编程","0.82","2279","2026-02"
"5575","游戏|直播","0.73","1708","2026-07"
"3130","办公","0.57","1443","2025-10"
"3306","游戏","0.53","1845","2026-03"
"2345","游戏|学习|编程","0.95","2418","2026-03"
"1774","设计剪辑|设计剪辑|多设备办公","0.60","2024","2025-12"
"2937","影音娱乐","0.67","1976","2025-05"
"8567","办公","0.59","1378","2026-03"
"4253","学习","0.51","738","2025-12"
"5342","游戏|办公","0.72","330","2026-05"
"9529","办公","0.72","1692","2025-05"
"7345","游戏|影音娱乐","0.74","1649","2026-08"
"3909","办公","0.68","1572","2025-05"
"5974","音乐制作","0.91","2491","2026-06"
"7251","音乐制作|设计剪辑|游戏","0.96","2111","2026-01"
"5413","学习|学习","0.70","276","2025-07"
"1554","编程","0.62","668","2026-01"
"4577","编程","0.72","2079","2025-06"
"8477","设计剪辑","0.93","694","2024-09"
"4624","游戏|学习","0.64","2538","2026-03"
"7964","影音娱乐|游戏|直播","0.71","1066","2025-11"
"7368","编程","0.68","957","2026-08"
"3857","设计剪辑","0.81","1107","2025-07"
"6659","学习|游戏","0.63","1042","2025-01"
"1529","设计剪辑|多设备办公","0.92","1085","2024-05"
"2047","直播|游戏","0.72","893","2026-01"
"4579","直播|办公","0.79","381","2025-01"
"6568","直播","0.75","1775","2026-07"
"9047","影音娱乐","0.49","2174","2025-07"
"4733","影音娱乐|学习","0.50","408","2025-11"
"3096","编程","0.50","2129","2026-01"
"4480","直播","0.55","1303","2026-08"
"1531","直播","0.46","2727","2026-05"
"3945","学习|办公|直播","0.67","983","2025-04"
"6724","办公|办公","0.91","1714","2025-04"
"1216","音乐制作|编程|编程","0.52","880","2025-12"
"1976","游戏","0.65","1487","2024-06"
"8310","办公|学习|直播","0.67","786","2026-05"
"5890","影音娱乐|影音娱乐","0.83","818","2026-04"
"8675","直播|学习","0.52","2064","2026-01"
"7199","游戏","0.46","1254","2025-04"
"7010","影音娱乐|编程|音乐制作","0.50","2446","2026-01"
"8688","直播|办公","0.82","1662","2026-01"
"2027","游戏","0.73","2100","2024-12"
"1240","直播|办公|多设备办公","0.88","1820","2025-08"
"7159","游戏","0.66","2648","2025-10"
"9075","办公|办公|游戏","0.47","462","2026-03"
"6389","游戏|编程","0.83","1816","2026-08"
"1208","影音娱乐|学习","0.62","187","2024-08"
"5281","影音娱乐","0.46","1957","2024-07"
"8690","办公","0.75","969","2025-02"
"1009","编程|直播","0.72","791","2024-12"
"2486","影音娱乐","0.79","1994","2026-09"
"1223","多设备办公|设计剪辑","0.95","677","2026-01"
"9000","通勤|影音娱乐","0.90","2127","2025-06"
"7154","通勤","0.92","473","2026-09"
"5203","音乐制作","0.69","1340","2026-09"
"4432","直播|直播","0.67","2598","2025-11"
"5057","直播","0.84","2761","2025-06"
"1439","影音娱乐|编程","0.70","745","2026-04"
"4094","编程|多设备办公","0.80","2137","2024-11"
"7149","直播|办公","0.73","835","2026-07"
"7838","编程","0.65","2369","2026-09"
"3590","办公","0.80","1972","2024-10"
"4344","办公|直播","0.93","1312","2026-02"
"9389","游戏|游戏","0.80","1633","2026-01"
"1143","编程|办公|影音娱乐","0.52","707","2026-08"
"2116","影音娱乐|游戏|音乐制作","0.46","1183","2026-07"
"8168","办公|办公","0.48","1539","2026-01"
"8134","游戏|办公","0.96","2921","2025-11"
"9200","游戏|游戏","0.47","1889","2026-03"
"2308","游戏","0.65","1868","2026-08"
"6658","设计剪辑","0.88","629","2025-08"
"8694","学习","0.72","270","2026-08"
"6527","直播","0.48","2451","2026-06"
"1437","编程","0.92","2289","2026-08"
"3187","办公|编程","0.79","1276","2026-01"
"7648","办公|游戏","0.73","619","2025-11"
"7403","办公|学习","0.72","1146","2026-06"
"6357","学习|游戏","0.52","478","2026-07"
"4363","办公|影音娱乐|设计剪辑","0.92","1621","2026-02"
"3383","游戏|学习|多设备办公","0.72","1732","2025-12"
"2309","编程","0.92","481","2024-12"
"9558","影音娱乐","0.57","440","2026-03"
